GEOID,NAME,Total,Male: Total,Male: Under 5 years,Male: 5 to 9 years,Male: 10 to 14 years,Male: 15 to 17 years,Male: 18 and 19 years,Male: 20 years,Male: 21 years,Male: 22 to 24 years,Male: 25 to 29 years,Male: 30 to 34 years,Male: 35 to 39 years,Male: 40 to 44 years,Male: 45 to 49 years,Male: 50 to 54 years,Male: 55 to 59 years,Male: 60 and 61 years,Male: 62 to 64 years,Male: 65 and 66 years,Male: 67 to 69 years,Male: 70 to 74 years,Male: 75 to 79 years,Male: 80 to 84 years,Male: 85 years and over,Female: Total,Female: Under 5 years,Female: 5 to 9 years,Female: 10 to 14 years,Female: 15 to 17 years,Female: 18 and 19 years,Female: 20 years,Female: 21 years,Female: 22 to 24 years,Female: 25 to 29 years,Female: 30 to 34 years,Female: 35 to 39 years,Female: 40 to 44 years,Female: 45 to 49 years,Female: 50 to 54 years,Female: 55 to 59 years,Female: 60 and 61 years,Female: 62 to 64 years,Female: 65 and 66 years,Female: 67 to 69 years,Female: 70 to 74 years,Female: 75 to 79 years,Female: 80 to 84 years,Female: 85 years and over
54,West Virginia,1598834,788193,38234,43408,46841,28533,20511,10379,9953,26773,45478,45300,46876,48933,51488,52310,56388,23526,35098,22810,31580,45637,28413,16994,12730,810641,36609,41198,44274,26697,19863,10314,9745,26316,44242,44746,46251,48894,50470,52593,58810,25160,37252,24080,34567,49580,32795,22780,23405
55,Wisconsin,4634018,2303193,108661,120819,131853,80682,57395,29728,29419,79526,135624,143255,145659,136518,135699,154892,182156,75040,106760,67082,90611,120956,78289,49601,42968,2330825,103586,114429,123819,75943,55647,29605,29021,75896,129213,138145,141817,132938,132613,153747,184964,75973,108583,68819,93747,129885,91380,64208,76847
56,Wyoming,469664,237896,12743,14429,15396,8777,6097,3126,2888,7899,13959,15561,16194,14673,13638,13313,15907,7291,11029,6987,9536,12434,7938,4700,3381,231768,12000,13589,14529,8160,5614,2829,2662,7487,13187,14724,15320,13810,12839,12979,16218,7180,10895,7014,9213,12304,8228,5361,5626
72,Puerto Rico,24548,13061,357,431,450,282,180,124,78,324,681,774,935,891,1025,1228,1220,512,734,381,540,793,542,308,271,11487,360,421,419,253,163,78,83,273,547,667,806,735,853,1105,1120,527,613,391,474,652,443,242,262
01,Alabama,3171351,1550652,79369,84524,91346,56346,40038,21813,21258,56816,92065,92141,92317,90889,99434,104441,115648,46037,66643,41895,56748,84850,56757,34158,25119,1620699,74707,80247,86699,53569,40400,22279,21954,57295,92467,93692,93543,91754,99708,105082,118844,48345,70731,45841,62928,97004,69534,47503,46573
02,Alaska,421758,223180,10982,11916,12102,6980,4767,2805,2824,8261,15735,17167,17338,14421,13793,14435,16893,7126,9908,6421,8208,10431,5830,2866,1971,198578,10319,11313,11158,6408,3870,1995,2109,6451,13881,15287,14937,12544,12074,12620,14657,6262,9235,5851,7231,9071,5524,3015,2766
04,Arizona,3816547,1889911,73250,84990,93016,56291,40380,21812,20942,60946,108182,113043,112568,104871,110062,118483,136740,58873,88005,59452,85677,139694,98803,59086,44745,1926636,69447,80605,87781,53073,39237,21349,20087,56449,100643,104536,106263,101188,107164,117917,144560,63669,96708,66917,95945,153018,108922,66886,64272
05,Arkansas,2063550,1014529,52940,58388,62152,37658,25189,13184,13000,35696,60437,62035,62872,60859,62921,64585,73199,29274,41662,26809,37024,55500,38303,23560,17282,1049021,49961,55181,58353,35145,25631,13207,13017,35388,59989,61742,62508,59718,62338,64234,75738,30277,45130,29626,40705,62933,46713,30815,30672
06,California,13714587,6860487,260834,287284,308721,192060,136086,74326,72924,223020,435495,484621,473533,417965,416452,467850,542469,225822,323998,207405,279435,415011,277633,173699,163844,6854100,248805,273241,290346,180399,129049,69367,68089,205573,403990,449284,435762,389957,392510,452183,533639,223985,329494,215934,299084,455150,323318,220104,264837
08,Colorado,3760663,1888923,84289,94758,101627,61072,42283,22613,22254,68468,143909,151794,141952,123812,121020,119490,129309,53788,78313,49548,68009,93643,56835,33033,27104,1871740,80610,89571,95648,57424,39715,20688,20302,64355,132159,139432,131777,117370,113845,116701,133893,56333,82350,52939,73200,101378,65343,41663,45044
